id,is_monomer,SMILES,SIF_minutes,SGF_minutes,source_name
960.0,True,CC(=O)N[C@H]1CCSC[C@@H](C(=O)N[C@H](Cc2cccc(C)c2)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NC(C)(C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(N)=O)NC1=O,420,90,US9624268.csv
959.0,True,CC(=O)N[C@H]1CCSC[C@@H](C(=O)N[C@@H](Cc2ccc(Cl)cc2Cl)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NC(C)(C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(N)=O)NC1=O,420,150,US9624268.csv
949.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H](Cc1ccc(OCCN)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)NCC(N)=O,150,30,US9624268.csv
940.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@@](C)(CCCCN)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,90,90,US9624268.csv
927.0,True,CC(=O)N[C@H]1CCSC[C@@H](C(=O)N[C@H](Cc2ccc(OCCN)cc2)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N[C@](C)(CCCCN)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(N)=O)NC1=O,270,270,US9624268.csv
919.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@@](C)(CCCCN)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H](Cc1ccc(OCCN)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,90,30,US9624268.csv
910.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@@](C)(CCCCN)NC(=O)[C@H](Cc1ccc(Cl)c(Cl)c1)NC(=O)[C@@H](Cc1ccc(OCCN)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,30,150,US9624268.csv
909.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@@](C)(CCCCN)NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)[C@@H](Cc1ccc(OCCN)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,150,90,US9624268.csv
908.0,True,COc1ccc(C[C@@H](NC(=O)[C@@H](Cc2ccc(OCCN)cc2)NC(=O)[C@@H]2CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CCC(N)=O)C(=O)N2)C(=O)N[C@](C)(CCCCN)C(=O)N[C@@H](CCCCNC(C)=O)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O)cc1OC,90,30,US9624268.csv
907.0,True,CC(=O)NCCCC[C@H](NC(=O)[C@@](C)(CCCCN)NC(=O)[C@@H](Cc1ccc(CN)cc1)NC(=O)[C@@H](Cc1ccc(OCCN)cc1)NC(=O)[C@@H]1CSCC[C@H](NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(N)=O,270,270,US9624268.csv
